control_identifier,domain,level,practice_statement,objective,discussion,evidence_examples
AC.L2-3.1.11,Access Control,Level 2,"Terminate (automatically) a user session after a defined condition.","Prevent unauthorized access through abandoned sessions.","User sessions should automatically terminate after a defined period of inactivity or other conditions.","Session timeout configuration, session termination logs"
AC.L2-3.1.12,Access Control,Level 2,"Monitor and control remote access sessions.","Ensure secure remote access.","Remote access should be monitored and controlled through encrypted channels and multi-factor authentication.","VPN logs, remote access policy, MFA logs"
AC.L2-3.1.13,Access Control,Level 2,"Employ cryptographic mechanisms to protect the confidentiality of remote access sessions.","Protect data in transit during remote access.","All remote access sessions must use strong encryption (e.g., TLS 1.2+, IPsec).","VPN encryption settings, TLS configuration"
AC.L2-3.1.14,Access Control,Level 2,"Route remote access via managed access control points.","Centralize and monitor remote access.","Remote access should be routed through designated managed access control points (e.g., VPN concentrators, jump servers).","Network architecture diagrams, VPN gateway logs"
AC.L2-3.1.15,Access Control,Level 2,"Authorize remote execution of privileged commands and remote access to security-relevant information.","Control privileged remote access.","Privileged remote access should require explicit authorization and be logged.","Privileged remote access policy, authorization logs"
AC.L2-3.1.16,Access Control,Level 2,"Authorize wireless access prior to allowing such connections.","Control wireless network access.","Wireless access should require authentication and authorization before connection is permitted.","Wireless authentication logs, 802.1X configuration"
AC.L2-3.1.17,Access Control,Level 2,"Protect wireless access using authentication and encryption.","Secure wireless communications.","Wireless networks must use strong authentication (WPA2/WPA3) and encryption.","Wireless security configuration, encryption settings"
AC.L2-3.1.18,Access Control,Level 2,"Control connection of mobile devices.","Manage mobile device access.","Mobile devices should be managed through MDM solutions and meet security requirements before accessing CUI.","MDM enrollment records, mobile device policy"
AC.L2-3.1.19,Access Control,Level 2,"Encrypt CUI on mobile devices and mobile computing platforms.","Protect CUI on mobile devices.","All CUI stored on mobile devices must be encrypted using FIPS 140-2 validated cryptography.","Mobile device encryption status, FIPS validation certificates"
AC.L2-3.1.20,Access Control,Level 2,"Verify and control/limit connections to and use of external systems.","Control external system connections.","Connections to external systems should be authorized, monitored, and limited based on risk.","External connection policy, connection logs"
AC.L2-3.1.21,Access Control,Level 2,"Limit use of portable storage devices on external systems.","Control use of removable media.","Portable storage devices should be controlled and may be prohibited on systems processing CUI.","Removable media policy, USB device logs"
AC.L2-3.1.22,Access Control,Level 2,"Control CUI posted or processed on publicly accessible systems.","Prevent unauthorized CUI disclosure.","CUI should not be posted on publicly accessible systems unless explicitly authorized and protected.","Public system review process, CUI handling procedures"
AT.L2-3.2.1,Awareness and Training,Level 2,"Ensure that managers, systems administrators, and users of organizational systems are made aware of the security risks associated with their activities and of the applicable policies, standards, and procedures related to the security of those systems.","Ensure personnel understand security responsibilities.","Security awareness training should be provided to all personnel with access to CUI.","Training records, security awareness materials"
AT.L2-3.2.2,Awareness and Training,Level 2,"Ensure that personnel are trained to carry out their assigned information security-related duties and responsibilities.","Provide role-based security training.","Personnel with security responsibilities should receive role-specific training.","Role-based training records, training curriculum"
AT.L2-3.2.3,Awareness and Training,Level 2,"Provide security awareness training on recognizing and reporting potential indicators of insider threat.","Enable detection of insider threats.","Training should include recognizing suspicious behavior and reporting procedures.","Insider threat training materials, reporting procedures"
AU.L2-3.3.1,Audit and Accountability,Level 2,"Create and retain system audit logs and records to the extent needed to enable the monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity.","Enable security monitoring and incident investigation.","Audit logs should capture security-relevant events and be retained for analysis.","Audit log retention policy, log samples"
AU.L2-3.3.2,Audit and Accountability,Level 2,"Ensure that the actions of individual system users can be uniquely traced to those users so they can be held accountable for their actions.","Enable user accountability.","Audit logs should include user identity for all security-relevant actions.","Audit log format showing user attribution"
AU.L2-3.3.3,Audit and Accountability,Level 2,"Review and update logged events.","Ensure audit logging remains effective.","The list of audited events should be reviewed and updated periodically.","Audit policy review records, event list updates"
AU.L2-3.3.4,Audit and Accountability,Level 2,"Alert in the event of an audit logging process failure.","Ensure continuous audit capability.","Systems should alert administrators if audit logging fails.","Audit failure alert configuration, alert logs"
AU.L2-3.3.5,Audit and Accountability,Level 2,"Correlate audit record review, analysis, and reporting processes for investigation and response to indications of unlawful, unauthorized, suspicious, or unusual activity.","Enable effective security monitoring.","Audit records should be analyzed to detect security incidents.","SIEM correlation rules, security monitoring procedures"
AU.L2-3.3.6,Audit and Accountability,Level 2,"Provide audit record reduction and report generation to support on-demand analysis and reporting.","Facilitate audit analysis.","Tools should be available to filter and analyze audit data.","Audit analysis tools, sample audit reports"
AU.L2-3.3.7,Audit and Accountability,Level 2,"Provide a system capability that compares and synchronizes internal system clocks with an authoritative source to generate time stamps for audit records.","Ensure accurate audit timestamps.","System clocks should be synchronized with authoritative time sources (e.g., NTP).","NTP configuration, time synchronization logs"
AU.L2-3.3.8,Audit and Accountability,Level 2,"Protect audit information and audit logging tools from unauthorized access, modification, and deletion.","Ensure audit integrity.","Audit logs and tools should be protected from tampering.","Audit log access controls, integrity verification"
AU.L2-3.3.9,Audit and Accountability,Level 2,"Limit management of audit logging functionality to a subset of privileged users.","Control audit configuration.","Only authorized administrators should be able to modify audit settings.","Audit administrator role definition, access logs"
CM.L2-3.4.1,Configuration Management,Level 2,"Establish and maintain baseline configurations and inventories of organizational systems (including hardware, software, firmware, and documentation) throughout the respective system development life cycles.","Maintain system configuration control.","Baseline configurations should be documented and maintained for all systems.","Configuration baselines, system inventory"
CM.L2-3.4.2,Configuration Management,Level 2,"Establish and enforce security configuration settings for information technology products employed in organizational systems.","Ensure secure system configurations.","Security configuration standards should be defined and enforced (e.g., CIS benchmarks, DISA STIGs).","Security configuration standards, compliance scan results"
CM.L2-3.4.3,Configuration Management,Level 2,"Track, review, approve or disapprove, and log changes to organizational systems.","Control system changes.","All system changes should go through a formal change management process.","Change management records, change approval logs"
CM.L2-3.4.4,Configuration Management,Level 2,"Analyze the security impact of changes prior to implementation.","Prevent security degradation from changes.","Security impact analysis should be performed before implementing changes.","Security impact analysis templates, review records"
CM.L2-3.4.5,Configuration Management,Level 2,"Define, document, approve, and enforce physical and logical access restrictions associated with changes to organizational systems.","Control access to make changes.","Access to make system changes should be restricted and controlled.","Change access control policy, privileged access logs"
CM.L2-3.4.6,Configuration Management,Level 2,"Employ the principle of least functionality by configuring organizational systems to provide only essential capabilities.","Minimize attack surface.","Unnecessary services, protocols, and software should be disabled or removed.","Least functionality policy, disabled services list"
CM.L2-3.4.7,Configuration Management,Level 2,"Restrict, disable, or prevent the use of nonessential programs, functions, ports, protocols, and services.","Reduce system vulnerabilities.","Only required programs and services should be enabled on systems.","Firewall rules, service configuration"
CM.L2-3.4.8,Configuration Management,Level 2,"Apply deny-by-exception (blacklisting) policy to prevent the use of unauthorized software or deny-all, permit-by-exception (whitelisting) policy to allow the execution of authorized software.","Control software execution.","Application whitelisting or blacklisting should be implemented.","Application control policy, allowed software list"
CM.L2-3.4.9,Configuration Management,Level 2,"Control and monitor user-installed software.","Prevent unauthorized software installation.","Users should not be able to install software without authorization.","Software installation restrictions, installation logs"
IA.L2-3.5.1,Identification and Authentication,Level 2,"Identify system users, processes acting on behalf of users, and devices.","Ensure unique identification.","All users, processes, and devices must be uniquely identified.","User account list, device inventory"
IA.L2-3.5.2,Identification and Authentication,Level 2,"Authenticate (or verify) the identities of users, processes, or devices, as a prerequisite to allowing access to organizational systems.","Verify identity before granting access.","Authentication must occur before access is granted.","Authentication mechanisms, login logs"
IA.L2-3.5.3,Identification and Authentication,Level 2,"Use multifactor authentication for local and network access to privileged accounts and for network access to non-privileged accounts.","Strengthen authentication.","MFA must be used for privileged access and remote access.","MFA configuration, authentication logs"
IA.L2-3.5.4,Identification and Authentication,Level 2,"Employ replay-resistant authentication mechanisms for network access to privileged and non-privileged accounts.","Prevent replay attacks.","Authentication should use mechanisms that prevent replay attacks (e.g., Kerberos, challenge-response).","Authentication protocol configuration"
IA.L2-3.5.5,Identification and Authentication,Level 2,"Prevent reuse of identifiers for a defined period.","Prevent identifier confusion.","User and device identifiers should not be reused for a specified time period.","Account lifecycle policy, identifier reuse prevention"
IA.L2-3.5.6,Identification and Authentication,Level 2,"Disable identifiers after a defined period of inactivity.","Remove inactive accounts.","Inactive accounts should be automatically disabled after a defined period.","Account inactivity policy, disabled account list"
IA.L2-3.5.7,Identification and Authentication,Level 2,"Enforce a minimum password complexity and change of characters when new passwords are created.","Ensure strong passwords.","Password complexity requirements should be enforced (length, character types).","Password policy settings, password complexity rules"
IA.L2-3.5.8,Identification and Authentication,Level 2,"Prohibit password reuse for a specified number of generations.","Prevent password reuse.","Users should not be able to reuse recent passwords.","Password history policy, password reuse prevention"
IA.L2-3.5.9,Identification and Authentication,Level 2,"Allow temporary password use for system logons with an immediate change to a permanent password.","Control temporary passwords.","Temporary passwords should require immediate change upon first use.","Temporary password policy, password change logs"
IA.L2-3.5.10,Identification and Authentication,Level 2,"Store and transmit only cryptographically-protected passwords.","Protect password confidentiality.","Passwords must be hashed (not encrypted) using approved algorithms and protected in transit.","Password storage mechanisms, TLS configuration"
IA.L2-3.5.11,Identification and Authentication,Level 2,"Obscure feedback of authentication information.","Prevent password disclosure.","Password entry should not display characters on screen.","Authentication interface configuration"
IR.L2-3.6.1,Incident Response,Level 2,"Establish an operational incident-handling capability for organizational systems that includes preparation, detection, analysis, containment, recovery, and user response activities.","Enable effective incident response.","An incident response capability should be established and maintained.","Incident response plan, IR team charter"
IR.L2-3.6.2,Incident Response,Level 2,"Track, document, and report incidents to designated officials and/or authorities both internal and external to the organization.","Ensure incident visibility and reporting.","All security incidents must be tracked, documented, and reported.","Incident tracking system, incident reports"
IR.L2-3.6.3,Incident Response,Level 2,"Test the organizational incident response capability.","Validate IR effectiveness.","Incident response procedures should be tested periodically (e.g., tabletop exercises).","IR test records, exercise after-action reports"
MA.L2-3.7.1,Maintenance,Level 2,"Perform maintenance on organizational systems.","Ensure systems remain operational and secure.","Regular maintenance should be performed on all systems.","Maintenance schedules, maintenance records"
MA.L2-3.7.2,Maintenance,Level 2,"Provide controls on the tools, techniques, mechanisms, and personnel used to conduct system maintenance.","Control maintenance activities.","Maintenance should be controlled and performed by authorized personnel.","Maintenance authorization procedures, maintenance logs"
MA.L2-3.7.3,Maintenance,Level 2,"Ensure equipment removed for off-site maintenance is sanitized of any CUI.","Prevent data leakage during maintenance.","Equipment sent for off-site maintenance must have CUI removed or encrypted.","Media sanitization procedures, maintenance tracking"
MA.L2-3.7.4,Maintenance,Level 2,"Check media containing diagnostic and test programs for malicious code before the media are used in organizational systems.","Prevent malware introduction.","Maintenance media should be scanned for malware before use.","Malware scanning procedures, scan logs"
MA.L2-3.7.5,Maintenance,Level 2,"Require multifactor authentication to establish nonlocal maintenance sessions via external network connections and terminate such connections when nonlocal maintenance is complete.","Secure remote maintenance.","Remote maintenance must use MFA and terminate sessions when complete.","Remote maintenance policy, MFA logs"
MA.L2-3.7.6,Maintenance,Level 2,"Supervise the maintenance activities of maintenance personnel without required access authorization.","Control unescorted maintenance.","Maintenance by personnel without security clearance must be supervised.","Maintenance supervision procedures, visitor logs"
MP.L2-3.8.1,Media Protection,Level 2,"Protect (i.e., physically control and securely store) system media containing CUI, both paper and digital.","Prevent unauthorized media access.","Media containing CUI must be physically protected.","Media storage procedures, media inventory"
MP.L2-3.8.2,Media Protection,Level 2,"Limit access to CUI on system media to authorized users.","Control media access.","Access to media containing CUI should be restricted to authorized personnel.","Media access control procedures, access logs"
MP.L2-3.8.3,Media Protection,Level 2,"Sanitize or destroy system media containing CUI before disposal or release for reuse.","Prevent data remanence.","Media must be sanitized (overwritten, degaussed) or destroyed before disposal.","Media sanitization procedures, destruction certificates"
MP.L2-3.8.4,Media Protection,Level 2,"Mark media with necessary CUI markings and distribution limitations.","Ensure proper CUI handling.","Media containing CUI must be appropriately marked.","CUI marking procedures, marked media examples"
MP.L2-3.8.5,Media Protection,Level 2,"Control access to media containing CUI and maintain accountability for media during transport outside of controlled areas.","Protect media in transit.","Media transport must be controlled and tracked.","Media transport procedures, chain of custody logs"
MP.L2-3.8.6,Media Protection,Level 2,"Implement cryptographic mechanisms to protect the confidentiality of CUI stored on digital media during transport unless otherwise protected by alternative physical safeguards.","Encrypt media in transit.","CUI on portable media must be encrypted during transport.","Media encryption procedures, encryption verification"
MP.L2-3.8.7,Media Protection,Level 2,"Control the use of removable media on system components.","Prevent unauthorized data transfer.","Removable media use should be controlled or prohibited.","Removable media policy, USB device controls"
MP.L2-3.8.8,Media Protection,Level 2,"Prohibit the use of portable storage devices when such devices have no identifiable owner.","Prevent use of unknown media.","Unknown or untrusted removable media should not be used.","Media usage policy, device registration"
MP.L2-3.8.9,Media Protection,Level 2,"Protect the confidentiality of backup CUI at storage locations.","Secure backup media.","Backup media must be protected with the same controls as primary systems.","Backup encryption, backup storage security"
PS.L2-3.9.1,Personnel Security,Level 2,"Screen individuals prior to authorizing access to organizational systems containing CUI.","Ensure trustworthy personnel.","Background checks should be conducted before granting CUI access.","Background check procedures, screening records"
PS.L2-3.9.2,Personnel Security,Level 2,"Ensure that organizational systems containing CUI are protected during and after personnel actions such as terminations and transfers.","Prevent insider threats during transitions.","Access should be revoked promptly upon termination or transfer.","Termination procedures, access revocation logs"
PE.L2-3.10.1,Physical Protection,Level 2,"Limit physical access to organizational systems, equipment, and the respective operating environments to authorized individuals.","Control physical access.","Physical access to systems and facilities must be restricted.","Physical access control procedures, access logs"
PE.L2-3.10.2,Physical Protection,Level 2,"Protect and monitor the physical facility and support infrastructure for organizational systems.","Ensure facility security.","Facilities should have physical security controls (locks, alarms, cameras).","Physical security measures, monitoring logs"
PE.L2-3.10.3,Physical Protection,Level 2,"Escort visitors and monitor visitor activity.","Control visitor access.","Visitors must be escorted and their activities monitored.","Visitor management procedures, visitor logs"
PE.L2-3.10.4,Physical Protection,Level 2,"Maintain audit logs of physical access.","Enable physical access accountability.","Physical access events should be logged and retained.","Physical access logs, badge reader logs"
PE.L2-3.10.5,Physical Protection,Level 2,"Control and manage physical access devices.","Manage access credentials.","Physical access devices (badges, keys) should be controlled and tracked.","Access device inventory, issuance records"
PE.L2-3.10.6,Physical Protection,Level 2,"Enforce safeguarding measures for CUI at alternate work sites.","Secure remote work locations.","CUI accessed from alternate work sites must be protected.","Remote work security policy, home office requirements"
RA.L2-3.11.1,Risk Assessment,Level 2,"Periodically assess the risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals, resulting from the operation of organizational systems and the associated processing, storage, or transmission of CUI.","Understand security risks.","Risk assessments should be conducted periodically.","Risk assessment reports, risk register"
RA.L2-3.11.2,Risk Assessment,Level 2,"Scan for vulnerabilities in organizational systems and applications periodically and when new vulnerabilities affecting those systems and applications are identified.","Identify system vulnerabilities.","Vulnerability scans should be performed regularly.","Vulnerability scan reports, scan schedules"
RA.L2-3.11.3,Risk Assessment,Level 2,"Remediate vulnerabilities in accordance with risk assessments.","Address identified vulnerabilities.","Vulnerabilities should be remediated based on risk prioritization.","Remediation tracking, patch management records"
CA.L2-3.12.1,Security Assessment,Level 2,"Periodically assess the security controls in organizational systems to determine if the controls are effective in their application.","Validate security control effectiveness.","Security assessments should be conducted periodically.","Security assessment reports, control test results"
CA.L2-3.12.2,Security Assessment,Level 2,"Develop and implement plans of action designed to correct deficiencies and reduce or eliminate vulnerabilities in organizational systems.","Address security deficiencies.","POA&Ms should be developed for identified deficiencies.","POA&M tracking, remediation plans"
CA.L2-3.12.3,Security Assessment,Level 2,"Monitor security controls on an ongoing basis to ensure the continued effectiveness of the controls.","Maintain security posture.","Continuous monitoring should be implemented.","Continuous monitoring procedures, monitoring reports"
CA.L2-3.12.4,Security Assessment,Level 2,"Develop, document, and periodically update system security plans that describe system boundaries, system environments of operation, how security requirements are implemented, and the relationships with or connections to other systems.","Document security architecture.","System security plans should be maintained and updated.","System security plan documents, update records"
SC.L2-3.13.1,System and Communications Protection,Level 2,"Monitor, control, and protect organizational communications (i.e., information transmitted or received by organizational systems) at the external boundaries and key internal boundaries of organizational systems.","Protect network boundaries.","Network boundaries should be protected with firewalls and monitoring.","Firewall rules, boundary protection architecture"
SC.L2-3.13.2,System and Communications Protection,Level 2,"Employ architectural designs, software development techniques, and systems engineering principles that promote effective information security within organizational systems.","Build security into systems.","Security should be incorporated into system design.","Secure architecture documentation, security requirements"
SC.L2-3.13.3,System and Communications Protection,Level 2,"Separate user functionality from system management functionality.","Isolate management functions.","Management interfaces should be separated from user interfaces.","Network segmentation, management network isolation"
SC.L2-3.13.4,System and Communications Protection,Level 2,"Prevent unauthorized and unintended information transfer via shared system resources.","Prevent information leakage.","Shared resources should be protected from information leakage.","Resource isolation controls, memory protection"
SC.L2-3.13.5,System and Communications Protection,Level 2,"Implement subnetworks for publicly accessible system components that are physically or logically separated from internal networks.","Isolate public-facing systems.","DMZs should be implemented for public-facing systems.","DMZ architecture, network segmentation"
SC.L2-3.13.6,System and Communications Protection,Level 2,"Deny network communications traffic by default and allow network communications traffic by exception (i.e., deny all, permit by exception).","Implement default-deny.","Firewalls should use default-deny rules.","Firewall policy, deny-by-default configuration"
SC.L2-3.13.7,System and Communications Protection,Level 2,"Prevent remote devices from simultaneously establishing non-remote connections with organizational systems and communicating via some other connection to resources in external networks (i.e., split tunneling).","Prevent split tunneling.","VPN split tunneling should be disabled.","VPN configuration, split tunnel prevention"
SC.L2-3.13.8,System and Communications Protection,Level 2,"Implement cryptographic mechanisms to prevent unauthorized disclosure of CUI during transmission unless otherwise protected by alternative physical safeguards.","Encrypt data in transit.","CUI must be encrypted during transmission (TLS, IPsec, SSH).","Encryption configuration, TLS settings"
SC.L2-3.13.9,System and Communications Protection,Level 2,"Terminate network connections associated with communications sessions at the end of the sessions or after a defined period of inactivity.","Prevent session hijacking.","Network sessions should terminate after inactivity.","Session timeout configuration, session logs"
SC.L2-3.13.10,System and Communications Protection,Level 2,"Establish and manage cryptographic keys for cryptography employed in organizational systems.","Manage encryption keys.","Cryptographic keys should be properly managed (generation, distribution, storage, destruction).","Key management procedures, key lifecycle"
SC.L2-3.13.11,System and Communications Protection,Level 2,"Employ FIPS-validated cryptography when used to protect the confidentiality of CUI.","Use approved cryptography.","Only FIPS 140-2 validated cryptographic modules should be used.","FIPS validation certificates, cryptographic module list"
SC.L2-3.13.12,System and Communications Protection,Level 2,"Prohibit remote activation of collaborative computing devices and provide indication of devices in use to users present at the device.","Control remote device activation.","Cameras and microphones should not be remotely activatable without user indication.","Device control settings, remote activation prevention"
SC.L2-3.13.13,System and Communications Protection,Level 2,"Control and monitor the use of mobile code.","Prevent malicious mobile code.","Mobile code (JavaScript, ActiveX) should be controlled.","Mobile code policy, content filtering"
SC.L2-3.13.14,System and Communications Protection,Level 2,"Control and monitor the use of Voice over Internet Protocol (VoIP) technologies.","Secure VoIP communications.","VoIP should be secured and monitored.","VoIP security configuration, call encryption"
SC.L2-3.13.15,System and Communications Protection,Level 2,"Protect the authenticity of communications sessions.","Prevent session hijacking and MITM attacks.","Session authenticity should be protected (e.g., using digital signatures, certificates).","Certificate management, session authentication"
SC.L2-3.13.16,System and Communications Protection,Level 2,"Protect the confidentiality of CUI at rest.","Encrypt data at rest.","CUI must be encrypted when stored (full disk encryption, database encryption).","Encryption at rest configuration, encryption verification"
SI.L2-3.14.1,System and Information Integrity,Level 2,"Identify, report, and correct system flaws in a timely manner.","Address system vulnerabilities.","System flaws should be identified and corrected promptly.","Patch management procedures, flaw remediation tracking"
SI.L2-3.14.2,System and Information Integrity,Level 2,"Provide protection from malicious code at designated locations within organizational systems.","Prevent malware infections.","Anti-malware solutions should be deployed and updated.","Anti-malware configuration, signature update logs"
SI.L2-3.14.3,System and Information Integrity,Level 2,"Monitor system security alerts and advisories and take action in response.","Stay informed of threats.","Security alerts should be monitored and acted upon.","Security alert monitoring procedures, response logs"
SI.L2-3.14.4,System and Information Integrity,Level 2,"Update malicious code protection mechanisms when new releases are available.","Maintain current malware protection.","Anti-malware signatures and engines should be kept current.","Update schedules, signature version logs"
SI.L2-3.14.5,System and Information Integrity,Level 2,"Perform periodic scans of organizational systems and real-time scans of files from external sources as files are downloaded, opened, or executed.","Detect malware.","Regular and real-time malware scans should be performed.","Scan schedules, scan results"
SI.L2-3.14.6,System and Information Integrity,Level 2,"Monitor organizational systems, including inbound and outbound communications traffic, to detect attacks and indicators of potential attacks.","Enable threat detection.","Network and system monitoring should detect attacks.","IDS/IPS configuration, security monitoring logs"
SI.L2-3.14.7,System and Information Integrity,Level 2,"Identify unauthorized use of organizational systems.","Detect unauthorized activity.","Unauthorized system use should be detected and investigated.","User behavior analytics, anomaly detection"
