clause_number,title,regulation,full_text_url,risk_category,risk_level,description,flow_down_required,applicability_notes
52.203-16,Preventing Personal Conflicts of Interest,FAR,https://www.acquisition.gov/far/52.203-16,TBD,2,Preventing Personal Conflicts of Interest,Yes,Review contract requirements
52.203-17,Contractor Employee Whistleblower Rights,FAR,https://www.acquisition.gov/far/52.203-17,TBD,2,Contractor Employee Whistleblower Rights,Yes,Review contract requirements
52.203-18,Prohibition on Contracting with Entities that Require Certain Internal Confidentiality Agreements or Statements-Representation,FAR,https://www.acquisition.gov/far/52.203-18,TBD,2,Prohibition on Contracting with Entities that Require Certain Internal Confidentiality Agreements or Statements-Representation,Yes,Review contract requirements
52.203-19,Prohibition on Requiring Certain Internal Confidentiality Agreements or Statements,FAR,https://www.acquisition.gov/far/52.203-19,TBD,2,Prohibition on Requiring Certain Internal Confidentiality Agreements or Statements,Yes,Review contract requirements
52.204-1,Approval of Contract,FAR,https://www.acquisition.gov/far/52.204-1,TBD,2,Approval of Contract,Yes,Review contract requirements
52.204-2,Security Requirements,FAR,https://www.acquisition.gov/far/52.204-2,TBD,2,Security Requirements,Yes,Review contract requirements
52.204-3,Taxpayer Identification,FAR,https://www.acquisition.gov/far/52.204-3,TBD,2,Taxpayer Identification,Yes,Review contract requirements
52.204-4,[Reserved],FAR,https://www.acquisition.gov/far/52.204-4,TBD,2,[Reserved],Yes,Review contract requirements
52.204-5,Women-Owned Business (Other Than Small Business),FAR,https://www.acquisition.gov/far/52.204-5,TBD,2,Women-Owned Business (Other Than Small Business),Yes,Review contract requirements
52.204-6,Unique Entity Identifier,FAR,https://www.acquisition.gov/far/52.204-6,TBD,2,Unique Entity Identifier,Yes,Review contract requirements
52.204-7,System for Award Management,FAR,https://www.acquisition.gov/far/52.204-7,TBD,2,System for Award Management,Yes,Review contract requirements
52.204-8,Annual Representations and Certifications,FAR,https://www.acquisition.gov/far/52.204-8,TBD,2,Annual Representations and Certifications,Yes,Review contract requirements
52.204-9,Personal Identity Verification of Contractor Personnel,FAR,https://www.acquisition.gov/far/52.204-9,TBD,2,Personal Identity Verification of Contractor Personnel,Yes,Review contract requirements
52.204-10,Reporting Executive Compensation and First-Tier Subcontract Awards,FAR,https://www.acquisition.gov/far/52.204-10,TBD,2,Reporting Executive Compensation and First-Tier Subcontract Awards,Yes,Review contract requirements
52.204-11,[Reserved],FAR,https://www.acquisition.gov/far/52.204-11,TBD,2,[Reserved],Yes,Review contract requirements
52.204-12,Unique Entity Identifier Maintenance,FAR,https://www.acquisition.gov/far/52.204-12,TBD,2,Unique Entity Identifier Maintenance,Yes,Review contract requirements
52.204-13,System for Award Management Maintenance,FAR,https://www.acquisition.gov/far/52.204-13,TBD,2,System for Award Management Maintenance,Yes,Review contract requirements
52.204-14,Service Contract Reporting Requirements,FAR,https://www.acquisition.gov/far/52.204-14,TBD,2,Service Contract Reporting Requirements,Yes,Review contract requirements
52.204-15,Service Contract Reporting Requirements for Indefinite-Delivery Contracts,FAR,https://www.acquisition.gov/far/52.204-15,TBD,2,Service Contract Reporting Requirements for Indefinite-Delivery Contracts,Yes,Review contract requirements
52.204-16,Commercial and Government Entity Code Reporting,FAR,https://www.acquisition.gov/far/52.204-16,TBD,2,Commercial and Government Entity Code Reporting,Yes,Review contract requirements
52.204-17,Ownership or Control of Offeror,FAR,https://www.acquisition.gov/far/52.204-17,TBD,2,Ownership or Control of Offeror,Yes,Review contract requirements
52.204-18,Commercial and Government Entity Code Maintenance,FAR,https://www.acquisition.gov/far/52.204-18,TBD,2,Commercial and Government Entity Code Maintenance,Yes,Review contract requirements
52.204-19,Incorporation by Reference of Representations and Certifications,FAR,https://www.acquisition.gov/far/52.204-19,TBD,2,Incorporation by Reference of Representations and Certifications,Yes,Review contract requirements
52.204-20,Predecessor of Offeror,FAR,https://www.acquisition.gov/far/52.204-20,TBD,2,Predecessor of Offeror,Yes,Review contract requirements
52.204-21,Basic Safeguarding of Covered Contractor Information Systems,FAR,https://www.acquisition.gov/far/52.204-21,TBD,2,Basic Safeguarding of Covered Contractor Information Systems,Yes,Review contract requirements
52.204-22,Alternative Line Item Proposal,FAR,https://www.acquisition.gov/far/52.204-22,TBD,2,Alternative Line Item Proposal,Yes,Review contract requirements
52.204-23,"Prohibition on Contracting for Hardware, Software, and Services Developed or Provided by Kaspersky Lab Covered Entities",FAR,https://www.acquisition.gov/far/52.204-23,TBD,2,"Prohibition on Contracting for Hardware, Software, and Services Developed or Provided by Kaspersky Lab Covered Entities",Yes,Review contract requirements
52.204-24,Representation Regarding Certain Telecommunications and Video Surveillance Services or Equipment,FAR,https://www.acquisition.gov/far/52.204-24,TBD,2,Representation Regarding Certain Telecommunications and Video Surveillance Services or Equipment,Yes,Review contract requirements
52.204-25,Prohibition on Contracting for Certain Telecommunications and Video Surveillance Services or Equipment,FAR,https://www.acquisition.gov/far/52.204-25,TBD,2,Prohibition on Contracting for Certain Telecommunications and Video Surveillance Services or Equipment,Yes,Review contract requirements
52.204-26,Covered Telecommunications Equipment or Services-Representation,FAR,https://www.acquisition.gov/far/52.204-26,TBD,2,Covered Telecommunications Equipment or Services-Representation,Yes,Review contract requirements
52.204-27,Prohibition on a ByteDance Covered Application,FAR,https://www.acquisition.gov/far/52.204-27,TBD,2,Prohibition on a ByteDance Covered Application,Yes,Review contract requirements
52.204-28,"Federal Acquisition Supply Chain Security Act Orders—Federal Supply Schedules, Governmentwide Acquisition Contracts, and Multi-Agency Contracts",FAR,https://www.acquisition.gov/far/52.204-28,TBD,2,"Federal Acquisition Supply Chain Security Act Orders—Federal Supply Schedules, Governmentwide Acquisition Contracts, and Multi-Agency Contracts",Yes,Review contract requirements
52.204-29,Federal Acquisition Supply Chain Security Act Orders—Representation and Disclosures,FAR,https://www.acquisition.gov/far/52.204-29,TBD,2,Federal Acquisition Supply Chain Security Act Orders—Representation and Disclosures,Yes,Review contract requirements
