clause_number,title,regulation,full_text_url,risk_category,risk_level,description,flow_down_required,applicability_notes
252.204-7009,Limitations on the Use or Disclosure of Third-Party Contractor Reported Cyber Incident Information,DFARS,https://www.acquisition.gov/dfars/252.204-7009,TBD,2,Limitations on the Use or Disclosure of Third-Party Contractor Reported Cyber Incident Information,Conditional,Review contract requirements
252.204-7010,Requirement for Contractor to Notify DoD if the Contractors Activities are Subject to Reporting Under the U.S.-International Atomic Energy Agency Additional Protocol,DFARS,https://www.acquisition.gov/dfars/252.204-7010,TBD,2,Requirement for Contractor to Notify DoD if the Contractors Activities are Subject to Reporting Under the U.S.-International Atomic Energy Agency Additional Protocol,Conditional,Review contract requirements
252.204-7011,Reserved,DFARS,https://www.acquisition.gov/dfars/252.204-7011,TBD,2,Reserved,Conditional,Review contract requirements
252.204-7012,Safeguarding Covered Defense Information and Cyber Incident Reporting,DFARS,https://www.acquisition.gov/dfars/252.204-7012,Cyber Security,4,Safeguarding Covered Defense Information and Cyber Incident Reporting,Yes,Critical for DoD contracts
252.204-7013,Reserved,DFARS,https://www.acquisition.gov/dfars/252.204-7013,TBD,2,Reserved,Conditional,Review contract requirements
252.204-7014,Limitations on the Use or Disclosure of Information by Litigation Support Contractors,DFARS,https://www.acquisition.gov/dfars/252.204-7014,TBD,2,Limitations on the Use or Disclosure of Information by Litigation Support Contractors,Conditional,Review contract requirements
252.204-7015,Notice of Authorized Disclosure of Information for Litigation Support,DFARS,https://www.acquisition.gov/dfars/252.204-7015,TBD,2,Notice of Authorized Disclosure of Information for Litigation Support,Conditional,Review contract requirements
252.204-7016,Covered Defense Telecommunications Equipment or Services—Representation,DFARS,https://www.acquisition.gov/dfars/252.204-7016,TBD,2,Covered Defense Telecommunications Equipment or Services—Representation,Conditional,Review contract requirements
252.204-7017,Prohibition on the Acquisition of Covered Defense Telecommunications Equipment or Services—Representation,DFARS,https://www.acquisition.gov/dfars/252.204-7017,TBD,2,Prohibition on the Acquisition of Covered Defense Telecommunications Equipment or Services—Representation,Conditional,Review contract requirements
252.204-7018,Prohibition on the Acquisition of Covered Defense Telecommunications Equipment or Services,DFARS,https://www.acquisition.gov/dfars/252.204-7018,TBD,2,Prohibition on the Acquisition of Covered Defense Telecommunications Equipment or Services,Conditional,Review contract requirements
252.204-7019,Notice of NISTSP 800-171 DoD Assessment Requirements,DFARS,https://www.acquisition.gov/dfars/252.204-7019,TBD,2,Notice of NISTSP 800-171 DoD Assessment Requirements,Conditional,Review contract requirements
252.204-7020,NIST SP 800-171DoD Assessment Requirements,DFARS,https://www.acquisition.gov/dfars/252.204-7020,TBD,2,NIST SP 800-171DoD Assessment Requirements,Conditional,Review contract requirements
252.204-7021,Contractor Compliance With the Cybersecurity Maturity Model Certification Level Requirements,DFARS,https://www.acquisition.gov/dfars/252.204-7021,Cyber Security,4,Contractor Compliance With the Cybersecurity Maturity Model Certification Level Requirements,Yes,Critical for DoD contracts
252.204-7022,Expediting Contract Closeout,DFARS,https://www.acquisition.gov/dfars/252.204-7022,TBD,2,Expediting Contract Closeout,Conditional,Review contract requirements
252.204-7023,Reporting Requirements for Contracted Services,DFARS,https://www.acquisition.gov/dfars/252.204-7023,TBD,2,Reporting Requirements for Contracted Services,Conditional,Review contract requirements
252.204-7024,Notice on the Use of the Supplier Performance Risk System,DFARS,https://www.acquisition.gov/dfars/252.204-7024,TBD,2,Notice on the Use of the Supplier Performance Risk System,Conditional,Review contract requirements
252.204-7025,Notice of Cybersecurity Maturity Model Certification Level Requirements,DFARS,https://www.acquisition.gov/dfars/252.204-7025,TBD,2,Notice of Cybersecurity Maturity Model Certification Level Requirements,Conditional,Review contract requirements
252.205-7000,Provision of Information to Cooperative Agreement Holders,DFARS,https://www.acquisition.gov/dfars/252.205-7000,TBD,2,Provision of Information to Cooperative Agreement Holders,Conditional,Review contract requirements
252.206-7000,Domestic Source Restriction,DFARS,https://www.acquisition.gov/dfars/252.206-7000,TBD,2,Domestic Source Restriction,Conditional,Review contract requirements
252.208-7000,Intent to Furnish Precious Metals as Government-Furnished Material,DFARS,https://www.acquisition.gov/dfars/252.208-7000,TBD,2,Intent to Furnish Precious Metals as Government-Furnished Material,Conditional,Review contract requirements
252.209-7000,Reserved,DFARS,https://www.acquisition.gov/dfars/252.209-7000,TBD,2,Reserved,Conditional,Review contract requirements
252.209-7001,Reserved,DFARS,https://www.acquisition.gov/dfars/252.209-7001,TBD,2,Reserved,Conditional,Review contract requirements
252.209-7002,Disclosure of Ownership or Control by a Foreign Government,DFARS,https://www.acquisition.gov/dfars/252.209-7002,TBD,2,Disclosure of Ownership or Control by a Foreign Government,Conditional,Review contract requirements
252.209-7003,Reserved,DFARS,https://www.acquisition.gov/dfars/252.209-7003,TBD,2,Reserved,Conditional,Review contract requirements
252.209-7004,Subcontracting with Firms that are Owned or Controlled by the Government of a Country that is a State Sponsor of Terrorism,DFARS,https://www.acquisition.gov/dfars/252.209-7004,TBD,2,Subcontracting with Firms that are Owned or Controlled by the Government of a Country that is a State Sponsor of Terrorism,Conditional,Review contract requirements
252.209-7005,Reserved,DFARS,https://www.acquisition.gov/dfars/252.209-7005,TBD,2,Reserved,Conditional,Review contract requirements
252.209-7006,Limitations on Contractors Acting as Lead System Integrators,DFARS,https://www.acquisition.gov/dfars/252.209-7006,TBD,2,Limitations on Contractors Acting as Lead System Integrators,Conditional,Review contract requirements
252.209-7007,Prohibited Financial Interests for Lead System Integrators,DFARS,https://www.acquisition.gov/dfars/252.209-7007,TBD,2,Prohibited Financial Interests for Lead System Integrators,Conditional,Review contract requirements
252.209-7008,Notice of Prohibition Relating to Organizational Conflict of Interest—Major Defense Acquisition Program,DFARS,https://www.acquisition.gov/dfars/252.209-7008,TBD,2,Notice of Prohibition Relating to Organizational Conflict of Interest—Major Defense Acquisition Program,Conditional,Review contract requirements
252.209-7009,Organizational Conflict of Interest—Major Defense Acquisition Program,DFARS,https://www.acquisition.gov/dfars/252.209-7009,TBD,2,Organizational Conflict of Interest—Major Defense Acquisition Program,Conditional,Review contract requirements
252.209-7010,Critical Safety Items,DFARS,https://www.acquisition.gov/dfars/252.209-7010,TBD,2,Critical Safety Items,Conditional,Review contract requirements
252.209-7011,Representation for Restriction on the Use of Certain Institutions of Higher Education,DFARS,https://www.acquisition.gov/dfars/252.209-7011,TBD,2,Representation for Restriction on the Use of Certain Institutions of Higher Education,Conditional,Review contract requirements
252.209-7012,Prohibition Relating to Conflicts of Interest in Consulting Services—Certification,DFARS,https://www.acquisition.gov/dfars/252.209-7012,Cyber Security,4,Prohibition Relating to Conflicts of Interest in Consulting Services—Certification,Yes,Critical for DoD contracts
252.209-7998,Representation Regarding Conviction of a Felony Criminal Violation under any Federal or State Law,DFARS,https://www.acquisition.gov/dfars/252.209-7998,TBD,2,Representation Regarding Conviction of a Felony Criminal Violation under any Federal or State Law,Conditional,Review contract requirements
